INPUT:image	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_71.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a552543b9d26505642c66f	000204dc75--62a40ebfde37523b97d02cc7	000204dc75--62a552543b9d26505642c66f	4d16b3c9457b1b5682a5443accfcae2a	APPROVED	2022-06-12T02:41:24.561
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_51.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a5525e0b8a5816988eb93f	000204dc75--62a40ebfde37523b97d02cbd	000204dc75--62a5525e0b8a5816988eb93f	4d16b3c9457b1b5682a5443accfcae2a	APPROVED	2022-06-12T02:41:34.045
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40554.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a5525fc6f5d259c5349237	000204dc75--62a40ebfde37523b97d02c75	000204dc75--62a5525fc6f5d259c5349237	5eaec5e4158b760a530d1214b421550c	APPROVED	2022-06-12T02:41:35.260
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40507.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a55266276629520ed3b9a4	000204dc75--62a40ebfde37523b97d02c46	000204dc75--62a55266276629520ed3b9a4	ff90f4a58e3c262759ba13e7616a57a5	APPROVED	2022-06-12T02:41:42.281
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_117.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a55266cf786816578abdf3	000204dc75--62a40ebfde37523b97d02cde	000204dc75--62a55266cf786816578abdf3	4d16b3c9457b1b5682a5443accfcae2a	APPROVED	2022-06-12T02:41:42.049
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_71.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a5526b598d17774f1aebf6	000204dc75--62a40ebfde37523b97d02cc7	000204dc75--62a5526b598d17774f1aebf6	9f35eadb96d415de6e7317b99962edc9	APPROVED	2022-06-12T02:41:47.627
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_71.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a5526d73c63f3d1e18122b	000204dc75--62a40ebfde37523b97d02cc7	000204dc75--62a5526d73c63f3d1e18122b	ff90f4a58e3c262759ba13e7616a57a5	APPROVED	2022-06-12T02:41:49.967
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40570.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a5526dda9c6a5d5a4063d2	000204dc75--62a40ebfde37523b97d02c85	000204dc75--62a5526dda9c6a5d5a4063d2	4d16b3c9457b1b5682a5443accfcae2a	APPROVED	2022-06-12T02:41:49.339
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_117.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a5526e8c7e6168a9d27f35	000204dc75--62a40ebfde37523b97d02cde	000204dc75--62a5526e8c7e6168a9d27f35	5eaec5e4158b760a530d1214b421550c	APPROVED	2022-06-12T02:41:50.193
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40570.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a552720ba1de781122bd55	000204dc75--62a40ebfde37523b97d02c85	000204dc75--62a552720ba1de781122bd55	9f35eadb96d415de6e7317b99962edc9	APPROVED	2022-06-12T02:41:54.036
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40554.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a552750ba1de781122bd60	000204dc75--62a40ebfde37523b97d02c75	000204dc75--62a552750ba1de781122bd60	ff90f4a58e3c262759ba13e7616a57a5	APPROVED	2022-06-12T02:41:57.494
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_183.png	Darker				https://toloka.yandex.ru/task/33873013/000204dc75--62a5527593820275f9d79420	000204dc75--62a40ebfde37523b97d02cff	000204dc75--62a5527593820275f9d79420	5eaec5e4158b760a530d1214b421550c	APPROVED	2022-06-12T02:41:57.012
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40570.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a55275b86eb76a54aeb953	000204dc75--62a40ebfde37523b97d02c85	000204dc75--62a55275b86eb76a54aeb953	592d6ebd026563f8c32af2e5a5b7da2b	APPROVED	2022-06-12T02:41:57.342
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_117.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a552774ad5fb122b78e278	000204dc75--62a40ebfde37523b97d02cde	000204dc75--62a552774ad5fb122b78e278	9f35eadb96d415de6e7317b99962edc9	APPROVED	2022-06-12T02:41:59.224
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_183.png	Darker				https://toloka.yandex.ru/task/33873013/000204dc75--62a5527a059cac0e9369c0de	000204dc75--62a40ebfde37523b97d02cff	000204dc75--62a5527a059cac0e9369c0de	4d16b3c9457b1b5682a5443accfcae2a	APPROVED	2022-06-12T02:42:02.112
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40560.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a5527ac6f5d259c534926e	000204dc75--62a40ebfde37523b97d02c7b	000204dc75--62a5527ac6f5d259c534926e	ff90f4a58e3c262759ba13e7616a57a5	APPROVED	2022-06-12T02:42:02.611
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_51.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a5527bf47dc6190066eedb	000204dc75--62a40ebfde37523b97d02cbd	000204dc75--62a5527bf47dc6190066eedb	5eaec5e4158b760a530d1214b421550c	APPROVED	2022-06-12T02:42:03.532
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_51.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a5527c3f40b641789b25b7	000204dc75--62a40ebfde37523b97d02cbd	000204dc75--62a5527c3f40b641789b25b7	9f35eadb96d415de6e7317b99962edc9	APPROVED	2022-06-12T02:42:04.767
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40554.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a5527d276629520ed3ba14	000204dc75--62a40ebfde37523b97d02c75	000204dc75--62a5527d276629520ed3ba14	592d6ebd026563f8c32af2e5a5b7da2b	APPROVED	2022-06-12T02:42:05.450
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40507.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a5527fb86eb76a54aeb97a	000204dc75--62a40ebfde37523b97d02c46	000204dc75--62a5527fb86eb76a54aeb97a	f894eb0494344d32214e90d41cf86c38	APPROVED	2022-06-12T02:42:07.076
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40578.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a55281598d17774f1aec2c	000204dc75--62a40ebfde37523b97d02c8d	000204dc75--62a55281598d17774f1aec2c	ff90f4a58e3c262759ba13e7616a57a5	APPROVED	2022-06-12T02:42:09.598
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_119.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a55281f47dc6190066ef0c	000204dc75--62a40ebfde37523b97d02cdf	000204dc75--62a55281f47dc6190066ef0c	9f35eadb96d415de6e7317b99962edc9	APPROVED	2022-06-12T02:42:09.685
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40507.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a55283305db237b235b039	000204dc75--62a40ebfde37523b97d02c46	000204dc75--62a55283305db237b235b039	e0ead6f77d6d375c9d8c517d2c5fb59d	APPROVED	2022-06-12T02:42:11.267
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_183.png	Darker				https://toloka.yandex.ru/task/33873013/000204dc75--62a552833f40b641789b262f	000204dc75--62a40ebfde37523b97d02cff	000204dc75--62a552833f40b641789b262f	7b69595644432baae2c5a24f155289ba	APPROVED	2022-06-12T02:42:11.314
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_53.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a55284450a603294f8b7a5	000204dc75--62a40ebfde37523b97d02cbe	000204dc75--62a55284450a603294f8b7a5	592d6ebd026563f8c32af2e5a5b7da2b	APPROVED	2022-06-12T02:42:12.611
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_119.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a552854f0ede6bfab1c1d6	000204dc75--62a40ebfde37523b97d02cdf	000204dc75--62a552854f0ede6bfab1c1d6	58154b042c3958097a3bca5ad438877a	APPROVED	2022-06-12T02:42:13.696
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_53.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a552868c7e6168a9d27fc2	000204dc75--62a40ebfde37523b97d02cbe	000204dc75--62a552868c7e6168a9d27fc2	f894eb0494344d32214e90d41cf86c38	APPROVED	2022-06-12T02:42:14.209
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_119.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a55287cd14e60843dd3b6f	000204dc75--62a40ebfde37523b97d02cdf	000204dc75--62a55287cd14e60843dd3b6f	ff90f4a58e3c262759ba13e7616a57a5	APPROVED	2022-06-12T02:42:15.210
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40578.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a55288a9641b6ee1ebf6c7	000204dc75--62a40ebfde37523b97d02c8d	000204dc75--62a55288a9641b6ee1ebf6c7	4d16b3c9457b1b5682a5443accfcae2a	APPROVED	2022-06-12T02:42:16.083
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_33.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a5528a276629520ed3ba62	000204dc75--62a40ebfde37523b97d02cb4	000204dc75--62a5528a276629520ed3ba62	69cf4280ea3ecb6ed221bb0b983f48c2	APPROVED	2022-06-12T02:42:18.744
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_135.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a5528b4ad5fb122b78e2b1	000204dc75--62a40ebfde37523b97d02ce7	000204dc75--62a5528b4ad5fb122b78e2b1	7b69595644432baae2c5a24f155289ba	APPROVED	2022-06-12T02:42:19.041
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_33.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a5528c3f40b641789b2653	000204dc75--62a40ebfde37523b97d02cb4	000204dc75--62a5528c3f40b641789b2653	592d6ebd026563f8c32af2e5a5b7da2b	APPROVED	2022-06-12T02:42:20.563
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40556.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a5528c598d17774f1aec4f	000204dc75--62a40ebfde37523b97d02c77	000204dc75--62a5528c598d17774f1aec4f	ff90f4a58e3c262759ba13e7616a57a5	APPROVED	2022-06-12T02:42:20.960
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_53.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a5528e3e4bbc46d7ab923f	000204dc75--62a40ebfde37523b97d02cbe	000204dc75--62a5528e3e4bbc46d7ab923f	58154b042c3958097a3bca5ad438877a	APPROVED	2022-06-12T02:42:22.013
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_135.png	Lighter				https://toloka.yandex.ru/task/33873013/000204dc75--62a5528e6c08bd0cc6045007	000204dc75--62a40ebfde37523b97d02ce7	000204dc75--62a5528e6c08bd0cc6045007	e0ead6f77d6d375c9d8c517d2c5fb59d	APPROVED	2022-06-12T02:42:22.732
										
