INPUT:image	GOLDEN:gender	GOLDEN:result	GOLDEN:confidence	HINT:text
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3968.png	1	1		This image is FAKED (generated by AI). Issues for this fake image: The hair on the top has weird glow.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40009.png	1	0		This image is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40010.png	1	0		This image is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40001.png	0	0		This image is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3931.png	0	1		This image is FAKED (generated by AI). Issues for this fake image: The teeth has odd-looking shape.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3995.png	0	1		This image is FAKED (generated by AI). Issues for this fake image: The left ear looks weird.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40008.png	0	0		This image is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40000.png	1	0		This image is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3996.png	1	1		This image is FAKED (generated by AI). Issues for this fake image: The hair looks weird.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40004.png	0	0		This image is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3991.png	1	1		This image is FAKED (generated by AI). Issues for this fake image: The frame of eye glasses takes one style at left, and another style at right.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40006.png	1	0		This image is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40003.png	1	0		This image is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3961.png	0	1		This image is FAKED (generated by AI). Issues for this fake image: The accompany in the background looks weird.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3956.png	1	1		This image is FAKED (generated by AI). Issues for this fake image: The face is asymmetrical.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3939.png	0	1		This image is FAKED (generated by AI). Issues for this fake image: The background on the right looks weird.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_4000.png	1	1		This image is FAKED (generated by AI). Issues for this fake image: The fluorescent colors bleed in from background onto the face.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40007.png	1	0		This image is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3981.png	0	1		This image is FAKED (generated by AI). Issues for this fake image: The hands have shiny blobs shape.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40005.png	1	0		This image is REAL.
