INPUT:image_left	INPUT:image_right	GOLDEN:result	GOLDEN:textfield	HINT:text
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_0.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40000.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_2.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40001.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_4.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40002.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40003.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_6.png	Left	None	The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40004.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_8.png	Left	None	The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_10.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40005.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_12.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40006.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_14.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40007.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_16.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40008.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40009.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_18.png	Left	None	The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_20.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40010.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_22.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40011.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_24.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40012.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40013.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_26.png	Left	None	The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_28.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40014.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40015.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_30.png	Left	None	The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40016.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_32.png	Left	None	The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_34.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40017.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40018.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_36.png	Left	None	The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_38.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40019.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_40.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40020.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_42.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40021.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_44.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40022.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40023.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_46.png	Left	None	The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_48.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40024.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40025.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_50.png	Left	None	The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40026.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_52.png	Left	None	The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_54.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40027.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40028.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_56.png	Left	None	The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40029.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_58.png	Left	None	The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_60.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40030.png	Right	None	The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40031.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_62.png	Left	None	The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40032.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_64.png	Left	None	The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_66.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40033.png	Right	None	The image on the Right is REAL.
