INPUT:image	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00004.png	Lighter				https://toloka.yandex.ru/task/33958247/0002062967--62ab99b1d2eb5432f1d0e541	0002062967--62ab98ec34e6286ed5be9d5f	0002062967--62ab99b1d2eb5432f1d0e541	b8fae3c8143fe6415f195a3fbfde6bb6	APPROVED	2022-06-16T20:59:29.054
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00371.png	Darker				https://toloka.yandex.ru/task/33958247/0002062967--62ab99b75d2f342f97b3fa45	0002062967--62ab98ec34e6286ed5be9ddb	0002062967--62ab99b75d2f342f97b3fa45	b8fae3c8143fe6415f195a3fbfde6bb6	APPROVED	2022-06-16T20:59:35.800
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00358.png	Darker				https://toloka.yandex.ru/task/33958247/0002062967--62ab99bbe2f46c69483b41c7	0002062967--62ab98ec34e6286ed5be9dd8	0002062967--62ab99bbe2f46c69483b41c7	5325b3b2dfdc157d329956aa7b14542d	APPROVED	2022-06-16T20:59:39.796
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00006.png	Lighter				https://toloka.yandex.ru/task/33958247/0002062967--62ab99c746781276f555ba31	0002062967--62ab98ec34e6286ed5be9d61	0002062967--62ab99c746781276f555ba31	5325b3b2dfdc157d329956aa7b14542d	APPROVED	2022-06-16T20:59:51.677
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00371.png	Darker				https://toloka.yandex.ru/task/33958247/0002062967--62ab99c912f9da010665e9e7	0002062967--62ab98ec34e6286ed5be9ddb	0002062967--62ab99c912f9da010665e9e7	578fbab732256e1dd72a5c394068cc80	APPROVED	2022-06-16T20:59:53.481
										
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_36.png	Lighter				https://toloka.yandex.ru/task/33958247/0002062967--62ab99c9305b844d0b34840b	0002062967--62ab98ec34e6286ed5be9e34	0002062967--62ab99c9305b844d0b34840b	5664c99b20f52f9aca4678e10baa3aee	APPROVED	2022-06-16T20:59:53.361
										
