INPUT:image_left	INPUT:image_right	GOLDEN:result	GOLDEN:textfield	HINT:text
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40000.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_4000.png	Left	None	The real image is on the left. Issues for the fake image (on the right): The fluorescent colors bleed in from background onto the face.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3997.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40001.png	Right	None	The real image is on the right. Issues for the fake image (on the left): The background is asymmetrical.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40002.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3996.png	Left	None	The real image is on the left. Issues for the fake image (on the right): The hair looks weird.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3995.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40003.png	Right	None	The real image is on the right. Issues for the fake image (on the left): The left ear looks weird.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3991.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40004.png	Right	None	The real image is on the right. Issues for the fake image (on the left): The frame of eye glasses takes one style at left, and another style at right.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40005.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3989.png	Left	None	The real image is on the left. Issues for the fake image (on the right): There are disconntections of the hair on the neck.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3987.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40006.png	Right	None	The real image is on the right. Issues for the fake image (on the left): The ear is asymmetrical.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3983.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40007.png	Right	None	The real image is on the right. Issues for the fake image (on the left): The ear on the right looks weird.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3981.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40008.png	Right	None	The real image is on the right. Issues for the fake image (on the left): The hands have shiny blobs shape.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3979.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40009.png	Right	None	The real image is on the right. Issues for the fake image (on the left): The accompany in the background looks weird.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3968.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40010.png	Right	None	The real image is on the right. Issues for the fake image (on the left): The hair on the top has weird glow.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3961.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40011.png	Right	None	The real image is on the right. Issues for the fake image (on the left): The accompany in the background looks weird.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40012.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3959.png	Left	None	The real image is on the left. Issues for the fake image (on the right): The hair looks weird.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40013.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3956.png	Left	None	The real image is on the left. Issues for the fake image (on the right): The face is asymmetrical.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40014.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3954.png	Left	None	The real image is on the left. Issues for the fake image (on the right): The image contains some shiny blobs on the right.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3945.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40015.png	Right	None	The real image is on the right. Issues for the fake image (on the left): The hair looks too sharp.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40016.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3941.png	Left	None	The real image is on the left. Issues for the fake image (on the right): The hair on the right looks weird.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3939.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40017.png	Right	None	The real image is on the right. Issues for the fake image (on the left): The background on the right looks weird.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3931.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40018.png	Right	None	The real image is on the right. Issues for the fake image (on the left): The teeth has odd-looking shape.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3910.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40019.png	Right	None	The real image is on the right. Issues for the fake image (on the left): The right-hand background looks weird.
