,INPUT:image,Race
0,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40501.png,0
1,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40502.png,2
2,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40503.png,3
3,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40504.png,0
4,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40505.png,0
5,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40506.png,2
6,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40507.png,0
7,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40508.png,3
8,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40509.png,
9,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40510.png,
10,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40511.png,
11,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40512.png,
12,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40513.png,
13,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40514.png,
14,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40515.png,
15,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40516.png,
16,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40517.png,
17,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40518.png,
18,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40519.png,
19,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40520.png,
20,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40521.png,
21,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40522.png,
22,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40523.png,
23,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40524.png,
24,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40525.png,
25,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40526.png,
26,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40527.png,
27,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40528.png,
28,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40529.png,
29,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40530.png,
30,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40531.png,
31,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40532.png,
32,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40533.png,
33,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40534.png,
34,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40535.png,
35,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40536.png,
36,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40537.png,
37,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40538.png,
38,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40539.png,
39,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40540.png,
40,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40541.png,
41,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40542.png,
42,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40543.png,
43,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40544.png,
44,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40545.png,
45,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40546.png,
46,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40547.png,
47,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40548.png,
48,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40549.png,
49,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40550.png,
50,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40551.png,
51,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40552.png,
52,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40553.png,
53,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40554.png,
54,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40555.png,
55,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40556.png,
56,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40557.png,
57,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40558.png,
58,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40559.png,
59,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40560.png,
60,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40561.png,
61,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40562.png,
62,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40563.png,
63,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40564.png,
64,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40565.png,
65,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40566.png,
66,https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40567.png,
