INPUT:image_left	INPUT:image_right	GOLDEN:result	GOLDEN:textfield	HINT:text
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_121.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40504.png	Right		The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40506.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_133.png	Left		The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_135.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40514.png	Right		The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40517.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_139.png	Left		The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40520.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_153.png	Left		The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40524.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_17.png	Left		The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40527.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_195.png	Left		The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40530.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_205.png	Left		The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_217.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40532.png	Right		The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40535.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_219.png	Left		The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40537.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_233.png	Left		The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_243.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40545.png	Right		The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_247.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40546.png	Right		The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40557.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_265.png	Left		The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40560.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_311.png	Left		The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_313.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40567.png	Right		The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40568.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_323.png	Left		The image on the Left is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_331.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40582.png	Right		The image on the Right is REAL.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40584.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_333.png	Left		The image on the Left is REAL.
