INPUT:image_left	INPUT:image_right	GOLDEN:result	GOLDEN:textfield
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40000.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_0.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_2.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40001.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40002.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_4.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40003.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_6.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40004.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_8.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40005.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_10.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40006.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_12.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40007.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_14.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40008.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_16.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_18.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40009.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_20.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40010.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_22.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40011.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40012.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_24.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_26.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40013.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40014.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_28.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_30.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40015.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40016.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_32.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_34.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40017.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_36.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40018.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_38.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40019.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_40.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40020.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40021.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_42.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40022.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_44.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_46.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40023.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_48.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40024.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40025.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_50.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40026.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_52.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_54.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40027.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40028.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_56.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_58.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40029.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_60.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40030.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40031.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_62.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_64.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40032.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40033.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_66.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_68.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40034.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_70.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40035.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_72.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40036.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40037.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_74.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_76.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40038.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40039.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_78.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_80.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40040.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40041.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_82.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40042.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_84.png	Left	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_86.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40043.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_88.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40044.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_90.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40045.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_92.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40046.png	Right	None
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40047.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_94.png	Left	None
